MINAMB 11,AMBAR
MINAMB 6,AMBAR BALTICO
MINAMB 7,AMBAR
MINAMB 14,AMBAR REOCIN
MINAMB 15,AMBAR REOCIN
MINAMB 13,AMBAR REOCIN
MINMOLD 3,MOLDAVITA
MINMOLD 2,MOLDAVITA
MINMOLD 1,MOLDAVITA
MINTURQ21, TURQUESA NATURAL
MINTURQ20, TURQUESA NATURAL
MINTURQ19, TURQUESA NATURAL
GFQUTUR39,CUARZO TURMALINA
JCLPINY 18,PIÑA FÓSIL ARAUCARIA
GFQUTUR38,CUARZO TURMALINA
GFCIA31,CIANITA
GFCIA32,CIANITA
GC.TURQ37,TURQUESA 
GCPIET35,PIETERSITA
GCPELLU30,PIEDRA  LLUNA
GCGRA28,GRANATE ESTRELLA
GCGRA27,GRANATE ESTRELLA
GCGRA29,GRANATE ESTRELLA
GFPEIN26,PIEDRA INCA
GCTEF25,TEFROITA
GCPECI 24,PIEDRA CINTA
GCAER23,AERINITA
GC.TURQ22, TURQUESA NATURAL
GC.TURQ21, TURQUESA NATURAL
GC.TURQ17, TURQUESA NATURAL
GCTEF19,TEFROITA
GCPECI18,PIEDRA CINTA
GCPEIN16,PIEDRA INCA
GCXAR15,CHAROITA
GC.TURQ20,TURQUESA NATURAL
GCSER13,SERPENTINA
GCPEIN12,PIEDRA INCA
GCPECI 11,PIEDRA CINTA
CL.TUR15,COLGANTE TURMALINA Y PLATA
CL.GRA5,COLGANTE  PLATA Y GRANATES
CL.AIG13,COLGANTE CRISTAL DE AGUAMARINA
CL.TUR 4,COLLAR DE TURMALINA
CL.CAL6,COLGANTE CALCEDONIA Y PLATA
CL.ATZOP7,AZABACHE Y OPALO
CL.QRUT8,COLGANTE CUARZO RUTILADO Y PLATA
CL.LAR12,COLLAR DE LARIMAR
CL.TUR11,COLLAR DE TURMALINA
CL.MOL14, COLGANTE DE MOLDAVITA
CL.OPRO10,COLLAR DE OPALO ANDINO ROSA
CL.GRA9,COLLAR DE GRANATE MANDARIN
,zircon
GFCIANI10,CIANITA
GFCIANI09,CIANITA
GFCIANI08,CIANITA
GFCIANI07,CIANITA
,cuarzo turmalina
CL.LAP2,COLLAR DE LAPISLAZULI
CL.ESP1,COLLAR DE ESPECTROLITA
CL.JAS16,COLLAR DE JASPE
GFCIANI06,CIANITA
GFCIA33,CIANITA
GFCIA34,CIANITA
,cuarzo ahumado
CL.JASP3,COLLAR DE JASPE
GFCIANI5,CIANITA
GFCIANI04,CIANITA
,ESCAPOLITA
jade002,jade jadeita
coral1,coral
GFLAB 129,LABRADORITA
GCIOL127,IOLITA
F23,ESPINELA
F022,ESPESARTITE
GFTIT 130,ESFENA
GFCLI128,CLINOHUMITE
GFCIANI03,CIANITA
GFCIANI02,CIANITA
GFAxi126,AXINITA
GFAxin125,AXINITA
amat02,AMATISTA
amat03,AMATISTA
,
